"filename", "language", "Python", "toml", "pip requirements", "Markdown", "Jupyter", "JavaScript", "CSV", "Django HTML", "Properties", "SQLite3 Editor Query", "JSON", "comment", "blank", "total"
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 6
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\.github\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\.github\workflows\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Backtesting\Docs\IMPLEMENTATION_COMPLETE.md", "Markdown", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 35, 139
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Backtesting\Docs\MIGRATION_GUIDE.md", "Markdown", 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 56, 232
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Backtesting\Docs\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Backtesting\IMPLEMENTATION_COMPLETE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Backtesting\Tests\test_backtrading_py_evaluator.py", "Python", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 48, 246
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Backtesting\__init__.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 6, 44
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Backtesting\data_provider.py", "Python", 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 60, 375
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Backtesting\evaluator.py", "Python", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 59, 417
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Backtesting\metrics.py", "Python", 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 91, 504
