Date,Time,Open,High,Low,Close,Volume
2014.09.04,5:00,172.609,172.649,172.466,172.545,2873
2014.09.04,6:00,172.543,172.601,172.491,172.534,1560
2014.09.04,7:00,172.534,172.563,172.491,172.547,1490
2014.09.04,8:00,172.549,172.762,172.477,172.679,3719
2014.09.04,9:00,172.684,172.735,172.587,172.702,3854
2014.09.04,10:00,172.702,172.774,172.602,172.632,3310
2014.09.04,11:00,172.63,172.661,172.541,172.612,2945
2014.09.04,12:00,172.612,172.698,172.549,172.637,4307
2014.09.04,13:00,172.632,172.773,172.53,172.605,8676
2014.09.04,14:00,172.605,172.613,172.154,172.444,14480
2014.09.04,15:00,172.444,172.598,172.418,172.474,7502
2014.09.04,16:00,172.479,172.627,172.311,172.336,8296
2014.09.04,17:00,172.34,172.433,171.971,172.011,8448
2014.09.04,18:00,172.009,172.269,171.998,172.184,5187
2014.09.04,19:00,172.184,172.208,171.982,171.989,3027
2014.09.04,20:00,171.989,172.05,171.867,171.874,2455
2014.09.04,21:00,171.876,171.913,171.761,171.886,2564
2014.09.04,22:00,171.89,171.932,171.816,171.915,1724
2014.09.04,23:00,171.868,171.924,171.646,171.826,2926
2014.09.05,0:00,171.826,172.046,171.788,172.025,1879
2014.09.05,1:00,172.025,172.266,171.943,172.033,4209
2014.09.05,2:00,172.033,172.117,171.899,171.937,4655
2014.09.05,3:00,171.937,171.961,171.738,171.839,3945
2014.09.05,4:00,171.838,171.877,171.713,171.804,3069
2014.09.05,5:00,171.802,171.878,171.776,171.809,2006
2014.09.05,6:00,171.81,171.823,171.73,171.775,1947
2014.09.05,7:00,171.773,171.898,171.763,171.851,1937
2014.09.05,8:00,171.846,172.015,171.827,171.926,3884
2014.09.05,9:00,171.926,171.963,171.779,171.789,4923
2014.09.05,10:00,171.789,171.83,171.644,171.704,5127
2014.09.05,11:00,171.705,171.736,171.54,171.572,4841
2014.09.05,12:00,171.576,171.659,171.523,171.636,4146
2014.09.05,13:00,171.635,171.652,171.413,171.414,4490
2014.09.05,14:00,171.411,171.529,170.985,171.166,13476
2014.09.05,15:00,171.162,171.364,171.143,171.226,9712
2014.09.05,16:00,171.226,171.229,170.981,171.174,9411
2014.09.05,17:00,171.171,171.226,171.086,171.186,4335
2014.09.05,18:00,171.186,171.38,171.152,171.36,3195
2014.09.05,19:00,171.36,171.44,171.335,171.393,1785
2014.09.05,20:00,171.395,171.588,171.374,171.582,1991
2014.09.05,21:00,171.583,171.616,171.514,171.596,1666
2014.09.05,22:00,171.596,171.641,171.501,171.531,1578
2014.09.08,0:00,170.191,170.667,170.181,170.632,2740
2014.09.08,1:00,170.634,170.66,170.445,170.542,2806
2014.09.08,2:00,170.54,170.648,170.512,170.563,3679
2014.09.08,3:00,170.563,170.621,170.357,170.501,2890
2014.09.08,4:00,170.503,170.523,170.408,170.461,1932
2014.09.08,5:00,170.462,170.478,170.272,170.275,1651
2014.09.08,6:00,170.275,170.324,170.241,170.316,1430
2014.09.08,7:00,170.316,170.401,170.055,170.061,2945
2014.09.08,8:00,170.059,170.182,169.738,169.893,7079
2014.09.08,9:00,169.893,170.014,169.836,169.978,7375
2014.09.08,10:00,169.975,170.052,169.634,169.685,6762
2014.09.08,11:00,169.682,169.736,169.344,169.509,7861
2014.09.08,12:00,169.509,169.608,169.439,169.591,4451
2014.09.08,13:00,169.59,169.965,169.565,169.957,4862
2014.09.08,14:00,169.959,170.135,169.865,170.097,5110
2014.09.08,15:00,170.095,170.407,170.036,170.37,6450
2014.09.08,16:00,170.37,170.616,170.287,170.309,6155
2014.09.08,17:00,170.31,170.58,170.3,170.513,6904
2014.09.08,18:00,170.513,170.973,170.492,170.865,4416
2014.09.08,19:00,170.865,171.107,170.559,170.602,8299
2014.09.08,20:00,170.602,170.679,170.501,170.645,3637
2014.09.08,21:00,170.644,170.839,170.583,170.681,3301
2014.09.08,22:00,170.683,170.815,170.664,170.734,1487
2014.09.08,23:00,170.735,170.831,170.524,170.534,1968
2014.09.09,0:00,170.541,170.693,170.536,170.59,1362
2014.09.09,1:00,170.592,170.85,170.587,170.785,1779
2014.09.09,2:00,170.785,170.8,170.668,170.723,3276
2014.09.09,3:00,170.724,170.745,170.624,170.685,3480
2014.09.09,4:00,170.687,171.01,170.673,170.831,4303
2014.09.09,5:00,170.831,170.854,170.735,170.769,3704
2014.09.09,6:00,170.769,170.861,170.727,170.787,2625
2014.09.09,7:00,170.786,170.9,170.772,170.882,3124
2014.09.09,8:00,170.876,171.051,170.854,171,4354
2014.09.09,9:00,171.001,171.175,170.939,171.173,6947
2014.09.09,10:00,171.171,171.396,171.058,171.277,7491
2014.09.09,11:00,171.277,171.296,171.121,171.276,5970
2014.09.09,12:00,171.28,171.53,171.129,171.236,6929
2014.09.09,13:00,171.235,171.24,170.956,170.99,6217
2014.09.09,14:00,170.99,171.093,170.875,170.99,7668
2014.09.09,15:00,170.989,171.218,170.907,170.987,7733
2014.09.09,16:00,170.987,171.168,170.947,171.076,8012
2014.09.09,17:00,171.078,171.124,170.891,171.049,7019
2014.09.09,18:00,171.047,171.189,170.972,171.167,5813
2014.09.09,19:00,171.166,171.269,171.109,171.209,3408
2014.09.09,20:00,171.209,171.233,171.089,171.105,2413
2014.09.09,21:00,171.105,171.111,170.95,171.047,5117
2014.09.09,22:00,171.043,171.129,170.97,171.032,2258
2014.09.09,23:00,171.006,171.175,170.999,171.039,2807
2014.09.10,0:00,171.04,171.089,171.013,171.067,1055
2014.09.10,1:00,171.068,171.137,171.057,171.095,1737
2014.09.10,2:00,171.094,171.308,171.086,171.305,3930
2014.09.10,3:00,171.304,171.399,171.221,171.353,3057
2014.09.10,4:00,171.355,171.445,171.321,171.346,3217
2014.09.10,5:00,171.35,171.414,171.28,171.39,2156
2014.09.10,6:00,171.391,171.616,171.32,171.519,3695
2014.09.10,7:00,171.522,171.705,171.477,171.634,3573
2014.09.10,8:00,171.634,171.891,171.622,171.809,5579
2014.09.10,9:00,171.809,172.071,171.743,171.985,7198
2014.09.10,10:00,171.985,172.043,171.511,171.526,9102
2014.09.10,11:00,171.524,171.686,171.245,171.645,8934
2014.09.10,12:00,171.646,172.061,171.541,171.868,6923
2014.09.10,13:00,171.868,172.071,171.831,172,6276
2014.09.10,14:00,172,172.265,171.973,172.17,5004
2014.09.10,15:00,172.161,172.383,171.86,172.324,4970
2014.09.10,16:00,172.323,172.346,172.17,172.237,4788
2014.09.10,17:00,172.233,172.334,172.071,172.216,4020
2014.09.10,18:00,172.216,172.762,172.157,172.702,3420
2014.09.10,19:00,172.705,172.884,172.613,172.767,3386
2014.09.10,20:00,172.764,173.262,172.752,173.04,3465
2014.09.10,21:00,173.044,173.16,172.944,173.123,2334
2014.09.10,22:00,173.131,173.248,173.067,173.155,2176
2014.09.10,23:00,173.14,173.269,173.065,173.066,1012
2014.09.11,0:00,173.097,173.157,172.99,173.124,1785
2014.09.11,1:00,173.124,173.183,173.033,173.052,1832
2014.09.11,2:00,173.046,173.138,172.967,173.1,2966
2014.09.11,3:00,173.106,173.152,172.798,172.834,3181
2014.09.11,4:00,172.827,172.876,172.769,172.854,2423
2014.09.11,5:00,172.854,172.99,172.828,172.988,1880
2014.09.11,6:00,172.99,173.205,172.922,173.175,2736
2014.09.11,7:00,173.173,173.367,173.155,173.247,3331
2014.09.11,8:00,173.248,173.343,173.174,173.336,3715
2014.09.11,9:00,173.344,173.558,173.189,173.558,4187
2014.09.11,10:00,173.559,173.7,173.424,173.63,4530
2014.09.11,11:00,173.63,174.003,173.505,173.777,4286
2014.09.11,12:00,173.782,174.059,173.713,173.964,4353
2014.09.11,13:00,173.971,174.103,173.933,173.961,3563
2014.09.11,14:00,173.959,173.972,173.414,173.542,4846
2014.09.11,15:00,173.549,173.671,173.384,173.461,7714
2014.09.11,16:00,173.461,173.858,173.254,173.386,13353
2014.09.11,17:00,173.389,173.536,173.335,173.372,6591
2014.09.11,18:00,173.373,173.519,173.34,173.461,3490
2014.09.11,19:00,173.47,173.648,173.357,173.638,3624
2014.09.11,20:00,173.638,173.76,173.605,173.65,3751
2014.09.11,21:00,173.651,173.78,173.578,173.763,3773
2014.09.11,22:00,173.763,174.244,173.714,174.08,3500
2014.09.11,23:00,174.056,174.168,173.772,174.156,2892
2014.09.12,0:00,174.161,174.184,173.977,174.001,2033
2014.09.12,1:00,174,174.09,173.935,174.055,1572
2014.09.12,2:00,174.053,174.133,173.853,174.072,4604
2014.09.12,3:00,174.071,174.165,174.02,174.135,4233
2014.09.12,4:00,174.136,174.232,174.11,174.184,2624
2014.09.12,5:00,174.184,174.345,174.184,174.285,2654
2014.09.12,6:00,174.285,174.329,174.161,174.165,2698
2014.09.12,7:00,174.165,174.249,173.991,174.065,3443
2014.09.12,8:00,174.067,174.2,173.931,174.06,5795
2014.09.12,9:00,174.06,174.367,174.004,174.243,5338
2014.09.12,10:00,174.243,174.258,174.073,174.15,5039
2014.09.12,11:00,174.154,174.352,174.151,174.297,5240
2014.09.12,12:00,174.297,174.328,174.073,174.097,3836
2014.09.12,13:00,174.098,174.168,173.698,174.033,7696
2014.09.12,14:00,174.032,174.214,174.021,174.157,8454
2014.09.12,15:00,174.159,174.234,174.084,174.122,8064
2014.09.12,16:00,174.123,174.256,174.07,174.255,7349
2014.09.12,17:00,174.255,174.255,174.132,174.181,5782
2014.09.12,18:00,174.177,174.418,174.168,174.365,5083
2014.09.12,19:00,174.364,174.428,174.283,174.406,3638
2014.09.12,20:00,174.406,174.511,174.367,174.457,2947
2014.09.12,21:00,174.457,174.517,174.435,174.502,2422
2014.09.12,22:00,174.503,174.665,174.491,174.549,1736
2014.09.15,0:00,174.558,174.616,174.456,174.489,1278
2014.09.15,1:00,174.489,174.532,174.421,174.505,899
2014.09.15,2:00,174.507,174.515,174.231,174.333,2110
2014.09.15,3:00,174.333,174.339,174.199,174.229,1973
2014.09.15,4:00,174.229,174.38,174.168,174.214,2009
2014.09.15,5:00,174.214,174.229,174.022,174.042,1155
