date,ticker,change_noncommercial_long,change_noncommercial_short,change_nonrept_long,change_nonrept_short,change_noncommercial_delta,change_nonreportable_delta
2025-05-27,XAUUSD,-3975,-14178,2488,2752,10203,-264
2025-05-20,XAUUSD,-129,-2901,2483,-1186,2772,3669
2025-05-13,XAUUSD,746,2034,-1062,-1454,-1288,392
2025-05-06,XAUUSD,-2932,-2111,1957,-206,-821,2163
2025-04-29,XAUUSD,-18519,-6459,-229,-782,-12060,553
2025-04-22,XAUUSD,-12811,14021,-445,2367,-26832,-2812
2025-04-15,XAUUSD,1874,379,863,2629,1495,-1766
2025-04-08,XAUUSD,-58103,-20384,-202,-5043,-37719,4841
2025-04-01,XAUUSD,11364,22726,-2164,11,-11362,-2175
2025-03-25,XAUUSD,-5082,3054,11,-1555,-8136,1566
2025-03-18,XAUUSD,25482,3650,-906,946,21832,-1852
2025-03-11,XAUUSD,-6960,201,4145,2911,-7161,1234
2025-03-04,XAUUSD,-13816,4548,799,-580,-18364,1379
2025-02-25,XAUUSD,-17095,-10046,-2079,-1157,-7049,-922
2025-02-18,XAUUSD,-9723,6107,1373,-640,-15830,2013
2025-02-11,XAUUSD,-12734,5270,-13,270,-18004,-283
2025-02-04,XAUUSD,18129,15030,298,-1056,3099,1354
2025-01-28,XAUUSD,1082,2457,-1414,97,-1375,-1511
2025-01-21,XAUUSD,24721,3300,2388,-347,21421,2735
2025-01-14,XAUUSD,20847,-3605,676,1322,24452,-646
2025-01-07,XAUUSD,8814,1182,217,499,7632,-282
2024-12-31,XAUUSD,-6509,-6159,-456,1234,-350,-1690
2024-12-24,XAUUSD,-13562,850,-575,-3090,-14412,2515
2024-12-17,XAUUSD,-21354,-7809,1940,33,-13545,1907
2024-12-10,XAUUSD,16721,871,-1889,3365,15850,-5254
2024-12-03,XAUUSD,4210,-5188,1763,-2594,9398,4357
2024-11-26,XAUUSD,-5953,-21924,-5847,-74,15971,-5773
2024-11-19,XAUUSD,-6871,-4787,-4417,-3241,-2084,-1176
2024-11-12,XAUUSD,-20591,-1713,4201,2800,-18878,1401
2024-11-05,XAUUSD,-29820,-6496,-795,-3507,-23324,2712
