Date,Time,Open,High,Low,Close,Volume
2018.01.02,16:00,58.62,59.07,58.55,59.04,0
2018.01.02,17:00,59.04,59.24,59.03,59.11,0
2018.01.02,18:00,59.12,59.39,59.1,59.36,0
2018.01.02,19:00,59.37,59.39,59.25,59.34,0
2018.01.02,20:00,59.34,59.4,59.31,59.35,0
2018.01.02,21:00,59.35,59.44,59.35,59.43,0
2018.01.02,22:00,59.42,59.49,59.37,59.42,0
2018.01.03,16:00,59.7,59.9,59.65,59.86,0
2018.01.03,17:00,59.86,59.95,59.74,59.94,0
2018.01.03,18:00,59.94,59.99,59.87,59.95,0
2018.01.03,19:00,59.95,60.11,59.93,60.1,0
2018.01.03,20:00,60.1,60.22,60.06,60.1,0
2018.01.03,21:00,60.1,60.23,60.06,60.19,0
2018.01.03,22:00,60.19,60.24,60.1,60.22,0
2018.01.04,16:00,60.61,60.78,60.44,60.7,0
2018.01.04,17:00,60.7,60.78,60.46,60.57,0
2018.01.04,18:00,60.58,60.6,60.3,60.38,0
2018.01.04,19:00,60.39,60.49,60.35,60.42,0
2018.01.04,20:00,60.42,60.45,60.23,60.35,0
2018.01.04,21:00,60.35,60.51,60.3,60.43,0
2018.01.04,22:00,60.43,60.51,60.32,60.51,0
2018.01.05,16:00,60.73,60.79,60.5,60.67,0
2018.01.05,17:00,60.66,60.96,60.65,60.9,0
2018.01.05,18:00,60.9,61.0,60.83,61.0,0
2018.01.05,19:00,61.0,61.04,60.94,61.02,0
2018.01.05,20:00,61.02,61.27,61.01,61.23,0
2018.01.05,21:00,61.23,61.35,61.23,61.26,0
2018.01.05,22:00,61.26,61.41,61.16,61.38,0
2018.01.08,16:00,61.96,62.63,61.9,62.38,0
2018.01.08,17:00,62.36,62.38,61.95,62.29,0
2018.01.08,18:00,62.27,62.43,62.2,62.26,0
2018.01.08,19:00,62.26,62.31,62.17,62.24,0
2018.01.08,20:00,62.24,62.3,62.17,62.29,0
2018.01.08,21:00,62.29,62.32,62.08,62.14,0
2018.01.08,22:00,62.15,62.32,62.11,62.28,0
2018.01.09,16:00,62.81,62.83,62.32,62.58,0
2018.01.09,17:00,62.58,62.62,62.08,62.25,0
2018.01.09,18:00,62.25,62.45,62.15,62.21,0
2018.01.09,19:00,62.21,62.52,62.12,62.47,0
2018.01.09,20:00,62.48,62.61,62.46,62.49,0
2018.01.09,21:00,62.49,62.73,62.49,62.71,0
2018.01.09,22:00,62.71,62.75,62.51,62.63,0
2018.01.10,16:00,62.44,62.55,62.08,62.26,0
2018.01.10,17:00,62.26,62.37,61.85,62.36,0
