Date,Time,Open,High,Low,Close,Volume
2018.01.02,16:00,4.87,4.91,4.86,4.9,0
2018.01.02,17:00,4.9,4.94,4.9,4.94,0
2018.01.02,18:00,4.94,4.95,4.93,4.94,0
2018.01.02,19:00,4.94,4.95,4.93,4.94,0
2018.01.02,20:00,4.94,4.94,4.93,4.94,0
2018.01.02,21:00,4.94,4.95,4.93,4.94,0
2018.01.02,22:00,4.94,4.98,4.94,4.97,0
2018.01.03,16:00,5.11,5.18,5.1,5.18,0
2018.01.03,17:00,5.18,5.23,5.17,5.23,0
2018.01.03,18:00,5.23,5.24,5.21,5.22,0
2018.01.03,19:00,5.22,5.29,5.22,5.27,0
2018.01.03,20:00,5.27,5.28,5.26,5.27,0
2018.01.03,21:00,5.27,5.34,5.27,5.31,0
2018.01.03,22:00,5.31,5.32,5.25,5.31,0
2018.01.04,16:00,5.42,5.44,5.31,5.33,0
2018.01.04,17:00,5.34,5.38,5.32,5.37,0
2018.01.04,18:00,5.37,5.37,5.34,5.36,0
2018.01.04,19:00,5.36,5.37,5.34,5.35,0
2018.01.04,20:00,5.35,5.36,5.33,5.34,0
2018.01.04,21:00,5.34,5.35,5.34,5.35,0
2018.01.04,22:00,5.35,5.35,5.33,5.34,0
2018.01.05,16:00,5.28,5.33,5.27,5.32,0
2018.01.05,17:00,5.32,5.33,5.27,5.3,0
2018.01.05,18:00,5.3,5.34,5.29,5.34,0
2018.01.05,19:00,5.34,5.39,5.34,5.39,0
2018.01.05,20:00,5.39,5.41,5.39,5.4,0
2018.01.05,21:00,5.4,5.42,5.4,5.4,0
2018.01.05,22:00,5.4,5.4,5.36,5.38,0
2018.01.08,16:00,5.52,5.59,5.52,5.54,0
2018.01.08,17:00,5.55,5.56,5.49,5.55,0
2018.01.08,18:00,5.55,5.61,5.54,5.58,0
2018.01.08,19:00,5.58,5.6,5.57,5.59,0
2018.01.08,20:00,5.59,5.62,5.58,5.61,0
2018.01.08,21:00,5.61,5.62,5.58,5.59,0
2018.01.08,22:00,5.59,5.59,5.54,5.56,0
2018.01.09,16:00,5.54,5.55,5.46,5.49,0
2018.01.09,17:00,5.49,5.54,5.47,5.5,0
2018.01.09,18:00,5.5,5.56,5.5,5.56,0
2018.01.09,19:00,5.56,5.59,5.55,5.57,0
2018.01.09,20:00,5.57,5.58,5.56,5.57,0
2018.01.09,21:00,5.57,5.58,5.56,5.57,0
2018.01.09,22:00,5.57,5.59,5.55,5.55,0
2018.01.10,16:00,5.45,5.5,5.44,5.44,0
2018.01.10,17:00,5.44,5.49,5.42,5.49,0
2018.01.10,18:00,5.49,5.57,5.49,5.57,0
2018.01.10,19:00,5.57,5.59,5.56,5.56,0
2018.01.10,20:00,5.56,5.58,5.54,5.58,0
2018.01.10,21:00,5.58,5.59,5.54,5.56,0
2018.01.10,22:00,5.56,5.59,5.55,5.58,0
2018.01.11,16:00,5.6,5.65,5.59,5.61,0
2018.01.11,17:00,5.61,5.62,5.58,5.62,0
2018.01.11,18:00,5.62,5.63,5.61,5.62,0
2018.01.11,19:00,5.62,5.62,5.61,5.62,0
2018.01.11,20:00,5.62,5.62,5.59,5.6,0
2018.01.11,21:00,5.6,5.62,5.6,5.61,0
2018.01.11,22:00,5.61,5.61,5.59,5.59,0
2018.01.12,16:00,5.55,5.57,5.53,5.55,0
2018.01.12,17:00,5.55,5.61,5.54,5.61,0
2018.01.12,18:00,5.62,5.62,5.59,5.61,0
2018.01.12,19:00,5.61,5.61,5.58,5.6,0
2018.01.12,20:00,5.6,5.6,5.58,5.59,0
2018.01.12,21:00,5.59,5.6,5.58,5.59,0
2018.01.12,22:00,5.59,5.6,5.57,5.57,0
2018.01.16,16:00,5.63,5.66,5.63,5.66,0
2018.01.16,17:00,5.66,5.68,5.63,5.66,0
2018.01.16,18:00,5.66,5.66,5.61,5.63,0
2018.01.16,19:00,5.63,5.65,5.59,5.59,0
2018.01.16,20:00,5.59,5.6,5.57,5.57,0
2018.01.16,21:00,5.57,5.57,5.41,5.45,0
2018.01.16,22:00,5.45,5.52,5.44,5.5,0
2018.01.17,16:00,5.45,5.48,5.42,5.43,0
2018.01.17,17:00,5.43,5.51,5.43,5.47,0
2018.01.17,18:00,5.47,5.54,5.46,5.53,0
2018.01.17,19:00,5.53,5.57,5.53,5.56,0
2018.01.17,20:00,5.56,5.58,5.55,5.57,0
2018.01.17,21:00,5.57,5.58,5.56,5.57,0
2018.01.17,22:00,5.57,5.62,5.57,5.61,0
2018.01.18,16:00,5.61,5.66,5.61,5.64,0
2018.01.18,17:00,5.64,5.64,5.56,5.63,0
2018.01.18,18:00,5.63,5.66,5.62,5.63,0
2018.01.18,19:00,5.63,5.64,5.62,5.62,0
2018.01.18,20:00,5.62,5.63,5.6,5.62,0
2018.01.18,21:00,5.62,5.64,5.62,5.63,0
2018.01.18,22:00,5.63,5.63,5.6,5.6,0
2018.01.19,16:00,5.67,5.74,5.67,5.7,0
2018.01.19,17:00,5.7,5.73,5.68,5.71,0
2018.01.19,18:00,5.71,5.77,5.71,5.75,0
2018.01.19,19:00,5.75,5.77,5.74,5.74,0
2018.01.19,20:00,5.74,5.75,5.72,5.74,0
2018.01.19,21:00,5.74,5.75,5.73,5.74,0
2018.01.19,22:00,5.74,5.75,5.73,5.75,0
2018.01.22,16:00,5.72,5.74,5.7,5.71,0
2018.01.22,17:00,5.72,5.81,5.71,5.79,0
2018.01.22,18:00,5.79,5.81,5.79,5.81,0
2018.01.22,19:00,5.81,5.82,5.8,5.81,0
2018.01.22,20:00,5.81,5.83,5.81,5.83,0
