Date,Time,Open,High,Low,Close,Volume
2018.01.02,16:30,42.41,42.58,42.37,42.58,0
2018.01.02,16:45,42.58,42.76,42.58,42.74,0
2018.01.02,17:00,42.74,42.84,42.71,42.78,0
2018.01.02,17:15,42.78,42.89,42.77,42.88,0
2018.01.02,17:30,42.88,42.89,42.82,42.84,0
2018.01.02,17:45,42.85,42.88,42.8,42.87,0
2018.01.02,18:00,42.87,42.88,42.8,42.84,0
2018.01.02,18:15,42.84,42.87,42.79,42.81,0
2018.01.02,18:30,42.81,42.83,42.77,42.8,0
2018.01.02,18:45,42.8,42.83,42.78,42.8,0
2018.01.02,19:00,42.8,42.86,42.79,42.85,0
2018.01.02,19:15,42.85,42.87,42.82,42.84,0
2018.01.02,19:30,42.84,42.85,42.8,42.81,0
2018.01.02,19:45,42.81,42.85,42.8,42.82,0
2018.01.02,20:00,42.82,42.89,42.82,42.88,0
2018.01.02,20:15,42.88,42.89,42.85,42.88,0
2018.01.02,20:30,42.88,42.91,42.87,42.91,0
2018.01.02,20:45,42.91,42.92,42.88,42.91,0
2018.01.02,21:00,42.92,43.02,42.91,43.02,0
2018.01.02,21:15,43.02,43.02,42.96,42.97,0
2018.01.02,21:30,42.97,43.02,42.97,42.99,0
2018.01.02,21:45,42.99,43.0,42.99,42.99,0
2018.01.02,22:00,42.99,42.99,42.95,42.97,0
2018.01.02,22:15,42.97,42.97,42.92,42.96,0
2018.01.02,22:30,42.96,43.01,42.95,43.01,0
2018.01.02,22:45,43.01,43.05,42.98,43.04,0
2018.01.03,16:30,43.27,43.34,43.25,43.29,0
2018.01.03,16:45,43.29,43.46,43.2,43.46,0
2018.01.03,17:00,43.46,43.6,43.44,43.51,0
2018.01.03,17:15,43.51,43.51,43.44,43.5,0
2018.01.03,17:30,43.51,43.63,43.47,43.62,0
2018.01.03,17:45,43.62,43.63,43.51,43.53,0
2018.01.03,18:00,43.53,43.57,43.51,43.54,0
2018.01.03,18:15,43.54,43.56,43.48,43.48,0
2018.01.03,18:30,43.49,43.49,43.37,43.37,0
2018.01.03,18:45,43.37,43.43,43.37,43.41,0
2018.01.03,19:00,43.41,43.43,43.36,43.39,0
2018.01.03,19:15,43.39,43.39,43.35,43.37,0
2018.01.03,19:30,43.37,43.37,43.32,43.36,0
2018.01.03,19:45,43.36,43.37,43.3,43.32,0
2018.01.03,20:00,43.32,43.33,43.27,43.31,0
2018.01.03,20:15,43.31,43.36,43.31,43.34,0
2018.01.03,20:30,43.34,43.34,43.25,43.27,0
2018.01.03,20:45,43.27,43.28,43.23,43.24,0
2018.01.03,21:00,43.24,43.25,43.2,43.23,0
2018.01.03,21:15,43.23,43.27,43.19,43.21,0
2018.01.03,21:30,43.21,43.22,43.15,43.2,0
2018.01.03,21:45,43.2,43.22,43.08,43.09,0
2018.01.03,22:00,43.09,43.12,43.05,43.08,0
2018.01.03,22:15,43.08,43.14,43.04,43.06,0
2018.01.03,22:30,43.07,43.13,43.05,43.05,0
2018.01.03,22:45,43.05,43.11,43.02,43.05,0
2018.01.04,16:30,43.17,43.22,43.02,43.08,0
