Date,Time,Open,High,Low,Close,Volume
2018.01.02,00:00,1302.93,1318.92,1302.23,1317.23,0
2018.01.03,00:00,1317.43,1321.52,1307.48,1312.9,0
2018.01.04,00:00,1312.68,1326.09,1305.89,1322.68,0
2018.01.05,00:00,1322.2,1323.47,1313.65,1319.24,0
2018.01.08,00:00,1320.93,1322.15,1314.79,1320.19,0
2018.01.09,00:00,1320.42,1320.45,1308.91,1312.6,0
2018.01.10,00:00,1312.28,1327.7,1308.21,1316.38,0
2018.01.11,00:00,1316.18,1324.02,1315.7,1322.18,0
2018.01.12,00:00,1322.8,1339.35,1321.51,1337.63,0
2018.01.15,00:00,1336.13,1344.75,1335.88,1339.42,0
2018.01.16,00:00,1339.8,1342.3,1331.87,1338.22,0
2018.01.17,00:00,1338.13,1343.99,1326.01,1326.78,0
2018.01.18,00:00,1326.21,1333.17,1324.31,1326.81,0
2018.01.19,00:00,1326.59,1338.06,1326.36,1331.4,0
2018.01.22,00:00,1333.5,1335.68,1328.34,1333.82,0
2018.01.23,00:00,1332.87,1341.83,1331.27,1340.97,0
2018.01.24,00:00,1340.91,1362.14,1339.52,1357.94,0
2018.01.25,00:00,1357.11,1366.08,1342.44,1348.07,0
2018.01.26,00:00,1348.05,1357.15,1344.52,1350.19,0
2018.01.29,00:00,1349.42,1352.43,1337.65,1339.99,0
2018.01.30,00:00,1340.67,1348.92,1334.43,1338.22,0
2018.01.31,00:00,1337.72,1347.53,1335.66,1344.79,0
2018.02.01,00:00,1344.95,1351.03,1337.28,1348.47,0
2018.02.02,00:00,1349.07,1350.08,1327.47,1332.82,0
2018.02.05,00:00,1331.67,1340.89,1329.0,1340.28,0
2018.02.06,00:00,1339.41,1346.01,1320.2,1323.9,0
2018.02.07,00:00,1323.33,1332.31,1312.27,1318.05,0
2018.02.08,00:00,1318.1,1321.76,1307.28,1318.55,0
2018.02.09,00:00,1318.03,1322.74,1311.16,1316.1,0
2018.02.12,00:00,1314.7,1326.89,1314.17,1322.37,0
2018.02.13,00:00,1322.55,1331.11,1321.61,1329.17,0
2018.02.14,00:00,1328.79,1355.57,1317.24,1350.12,0
2018.02.15,00:00,1349.2,1357.19,1348.57,1353.09,0
2018.02.16,00:00,1352.63,1361.74,1344.76,1347.21,0
2018.02.19,00:00,1346.93,1351.41,1345.75,1346.3,0
2018.02.20,00:00,1346.1,1348.23,1328.47,1329.1,0
2018.02.21,00:00,1328.88,1336.12,1322.42,1324.27,0
2018.02.22,00:00,1323.93,1332.11,1320.95,1331.82,0
2018.02.23,00:00,1330.98,1332.17,1325.82,1328.28,0
2018.02.26,00:00,1327.74,1341.04,1326.71,1333.0,0
2018.02.27,00:00,1332.56,1336.72,1313.43,1318.23,0
2018.02.28,00:00,1317.89,1322.52,1315.63,1317.85,0
2018.03.01,00:00,1317.55,1321.09,1302.79,1316.74,0
2018.03.02,00:00,1317.25,1325.47,1315.22,1322.26,0
2018.03.05,00:00,1323.51,1327.71,1317.55,1320.23,0
2018.03.06,00:00,1320.11,1338.49,1319.6,1334.27,0
2018.03.07,00:00,1337.69,1340.52,1322.19,1325.13,0
2018.03.08,00:00,1325.08,1329.03,1319.05,1321.8,0
2018.03.09,00:00,1321.96,1325.15,1313.35,1323.15,0
2018.03.12,00:00,1323.55,1324.29,1315.09,1322.7,0
2018.03.13,00:00,1322.94,1328.31,1313.78,1326.01,0
2018.03.14,00:00,1326.26,1330.03,1321.48,1324.3,0
2018.03.15,00:00,1323.25,1327.93,1314.99,1315.91,0
