Date,Time,Open,High,Low,Close,Volume
2014.02.07,20:00,1262.11,1265.15,1261.81,1264.81,2832
2014.02.07,21:00,1264.76,1267.76,1264.46,1267.15,1913
2014.02.07,22:00,1267.11,1267.25,1265.99,1267.15,1495
2014.02.07,23:00,1266.97,1268.02,1266.66,1267.35,982
2014.02.10,1:00,1269.36,1269.67,1267.33,1267.33,1195
2014.02.10,2:00,1267.24,1267.75,1265.48,1265.84,1970
2014.02.10,3:00,1265.85,1268.64,1265.1,1268.35,1811
2014.02.10,4:00,1268.44,1269.44,1268.23,1269.09,910
2014.02.10,5:00,1269.13,1270.06,1268.65,1268.83,788
2014.02.10,6:00,1268.89,1268.95,1268.34,1268.34,536
2014.02.10,7:00,1268.39,1269.68,1268.14,1269.66,1756
2014.02.10,8:00,1269.62,1274.9,1269.32,1272.77,3108
2014.02.10,9:00,1272.79,1273.54,1271.41,1271.87,2251
2014.02.10,10:00,1271.87,1274.9,1271.86,1274.7,3509
2014.02.10,11:00,1274.7,1276.1,1272.97,1273.4,2272
2014.02.10,12:00,1273.39,1273.88,1272.43,1272.99,1794
2014.02.10,13:00,1272.99,1272.99,1271.62,1272.52,1958
2014.02.10,14:00,1272.52,1274.74,1272.23,1274.44,3118
2014.02.10,15:00,1274.44,1277.83,1273.51,1274.23,5244
2014.02.10,16:00,1274.22,1275.65,1272.64,1275.47,4455
2014.02.10,17:00,1275.49,1277.26,1273.54,1274.55,5303
2014.02.10,18:00,1274.55,1275.79,1274.19,1275.65,3276
2014.02.10,19:00,1275.6,1276.26,1273.98,1274.69,2004
2014.02.10,20:00,1274.67,1275.53,1274.23,1274.98,1243
2014.02.10,21:00,1275,1276.51,1274.57,1275.17,1032
2014.02.10,22:00,1275.17,1275.2,1272.98,1274.82,1847
2014.02.10,23:00,1274.81,1275.18,1274.27,1274.59,852
2014.02.11,1:00,1274.35,1274.37,1273.68,1273.83,813
2014.02.11,2:00,1273.94,1281.96,1273.68,1280.21,2057
2014.02.11,3:00,1280.19,1284.15,1278.55,1282.63,2842
2014.02.11,4:00,1282.66,1287.37,1282.3,1286.69,2632
2014.02.11,5:00,1286.7,1286.77,1283.32,1283.55,1694
2014.02.11,6:00,1283.6,1284.83,1282.57,1283.14,1701
2014.02.11,7:00,1283.1,1284.81,1282.56,1284.31,1742
2014.02.11,8:00,1284.26,1285.87,1282.91,1283.65,1858
2014.02.11,9:00,1283.68,1286.15,1282.66,1284.96,2418
2014.02.11,10:00,1284.95,1285.96,1281.55,1285.04,3037
2014.02.11,11:00,1285.07,1285.5,1282.51,1283.17,2236
2014.02.11,12:00,1283.17,1284.51,1282.32,1284.17,1986
2014.02.11,13:00,1284.18,1285.28,1283.46,1284.77,1650
2014.02.11,14:00,1284.77,1287.42,1283.42,1287.07,3496
2014.02.11,15:00,1287.17,1288.34,1276.01,1279.83,6812
2014.02.11,16:00,1279.83,1283.14,1276.85,1281.76,6223
2014.02.11,17:00,1281.72,1291.37,1280.97,1289.69,6995
2014.02.11,18:00,1289.88,1293.78,1287.46,1290.95,5899
2014.02.11,19:00,1290.95,1291.55,1289.11,1289.91,3699
2014.02.11,20:00,1289.92,1290.54,1288.3,1289.69,2454
2014.02.11,21:00,1289.62,1292.19,1288.87,1291.99,2072
2014.02.11,22:00,1291.77,1291.99,1289.97,1289.97,2383
2014.02.11,23:00,1289.93,1291.88,1289.61,1291.52,1136
2014.02.12,1:00,1290.74,1290.76,1286.8,1286.81,1234
2014.02.12,2:00,1286.81,1287.88,1284.77,1287.7,2875
2014.02.12,3:00,1287.7,1287.95,1285.82,1285.91,2895
2014.02.12,4:00,1285.93,1286.85,1285.15,1285.6,1973
2014.02.12,5:00,1285.63,1286.59,1285.21,1285.42,1840
2014.02.12,6:00,1285.45,1285.78,1283.93,1285.27,1497
2014.02.12,7:00,1285.26,1286.33,1285.02,1285.63,1100
2014.02.12,8:00,1285.62,1288.22,1285.57,1287.32,2468
2014.02.12,9:00,1287.27,1288.19,1286.25,1286.93,1817
2014.02.12,10:00,1286.91,1287.4,1285.14,1286.64,3162
2014.02.12,11:00,1286.64,1288.14,1285.58,1288.07,1947
2014.02.12,12:00,1288.11,1288.33,1286.19,1286.93,2248
2014.02.12,13:00,1286.98,1287.62,1286.42,1286.97,2029
2014.02.12,14:00,1286.97,1292.24,1286.67,1290.85,4065
2014.02.12,15:00,1290.89,1292.4,1289.09,1290.15,4696
2014.02.12,16:00,1290.14,1291.69,1287.64,1290.2,4921
2014.02.12,17:00,1290.2,1295.25,1289.66,1293.58,6217
2014.02.12,18:00,1293.58,1293.71,1290.9,1292.93,3878
2014.02.12,19:00,1293,1296.25,1292.62,1294.73,3287
2014.02.12,20:00,1294.73,1295.78,1293.51,1293.99,2740
2014.02.12,21:00,1294.1,1294.68,1290.21,1291.84,2982
2014.02.12,22:00,1291.81,1292.83,1289.55,1290.35,3172
2014.02.12,23:00,1290.6,1291.56,1290.43,1290.83,984
2014.02.13,1:00,1290.91,1292.03,1290.33,1291.75,946
2014.02.13,2:00,1291.75,1293.16,1291.37,1291.93,1567
2014.02.13,3:00,1291.94,1292.91,1291.05,1291.05,2193
2014.02.13,4:00,1291.05,1291.81,1290.75,1291.63,1786
2014.02.13,5:00,1291.63,1291.64,1289.25,1290.41,2183
2014.02.13,6:00,1290.41,1290.47,1288.97,1289.5,1834
2014.02.13,7:00,1289.5,1290.07,1288.35,1288.66,1487
2014.02.13,8:00,1288.65,1289.89,1288.3,1289.55,1614
2014.02.13,9:00,1289.55,1289.7,1288.01,1288.31,1813
2014.02.13,10:00,1288.31,1288.31,1286.18,1287.35,2235
2014.02.13,11:00,1287.28,1289.74,1287.13,1289.11,2822
2014.02.13,12:00,1289.1,1292.43,1288.19,1292.33,2419
2014.02.13,13:00,1292.33,1293.95,1291.34,1293.41,2306
2014.02.13,14:00,1293.32,1293.65,1290.04,1292.24,2611
2014.02.13,15:00,1292.25,1295.25,1291.34,1292.82,5524
2014.02.13,16:00,1292.76,1297.31,1292.2,1295.58,6000
2014.02.13,17:00,1295.53,1298.03,1295.35,1296.55,5050
2014.02.13,18:00,1296.57,1299.67,1296.35,1297.79,5087
2014.02.13,19:00,1297.79,1298.75,1296.47,1298.53,3243
2014.02.13,20:00,1298.74,1301.4,1298.14,1300.61,3572
2014.02.13,21:00,1300.6,1302.31,1299.33,1300.45,3411
2014.02.13,22:00,1300.45,1302.63,1300.2,1301.78,3527
