Pattern Count,K,Silhouette Score,Is Optimal,Sample Size,n_pips,lookback
36,3,3,False,100,3,12
36,4,4,False,100,3,12
36,5,5,False,100,3,12
36,6,6,True,100,3,12
36,7,7,False,100,3,12
36,8,8,False,100,3,12
36,9,9,False,100,3,12
36,10,10,False,100,3,12
36,11,11,False,100,3,12
18,3,3,False,100,3,24
18,4,4,False,100,3,24
18,5,5,False,100,3,24
18,6,6,True,100,3,24
18,7,7,False,100,3,24
15,3,3,False,100,3,36
15,4,4,True,100,3,36
15,5,5,False,100,3,36
54,3,3,False,100,5,12
54,4,4,False,100,5,12
54,5,5,False,100,5,12
54,6,6,True,100,5,12
54,7,7,False,100,5,12
54,8,8,False,100,5,12
54,9,9,False,100,5,12
54,10,10,False,100,5,12
54,11,11,False,100,5,12
54,12,12,False,100,5,12
54,13,13,False,100,5,12
30,3,3,False,100,5,24
30,4,4,False,100,5,24
30,5,5,False,100,5,24
30,6,6,True,100,5,24
30,7,7,False,100,5,24
30,8,8,False,100,5,24
30,9,9,False,100,5,24
27,3,3,False,100,5,36
27,4,4,False,100,5,36
27,5,5,False,100,5,36
27,6,6,False,100,5,36
27,7,7,True,100,5,36
27,8,8,False,100,5,36
27,9,9,False,100,5,36
68,4,4,False,100,7,12
68,5,5,False,100,7,12
68,6,6,True,100,7,12
68,7,7,False,100,7,12
68,8,8,False,100,7,12
68,9,9,False,100,7,12
68,10,10,False,100,7,12
68,11,11,False,100,7,12
68,12,12,False,100,7,12
68,13,13,False,100,7,12
68,14,14,False,100,7,12
68,15,15,False,100,7,12
44,3,3,False,100,7,24
44,4,4,False,100,7,24
44,5,5,True,100,7,24
44,6,6,False,100,7,24
44,7,7,False,100,7,24
44,8,8,False,100,7,24
44,9,9,False,100,7,24
44,10,10,False,100,7,24
44,11,11,False,100,7,24
35,3,3,True,100,7,36
35,4,4,False,100,7,36
35,5,5,False,100,7,36
35,6,6,False,100,7,36
35,7,7,False,100,7,36
35,8,8,False,100,7,36
35,9,9,False,100,7,36
78,4,4,False,100,9,12
78,5,5,False,100,9,12
78,6,6,False,100,9,12
78,7,7,True,100,9,12
78,8,8,False,100,9,12
78,9,9,False,100,9,12
78,10,10,False,100,9,12
78,11,11,False,100,9,12
78,12,12,False,100,9,12
78,13,13,False,100,9,12
78,14,14,False,100,9,12
78,15,15,False,100,9,12
46,3,3,True,100,9,24
46,4,4,False,100,9,24
46,5,5,False,100,9,24
46,6,6,False,100,9,24
46,7,7,False,100,9,24
46,8,8,False,100,9,24
46,9,9,False,100,9,24
46,10,10,False,100,9,24
46,11,11,False,100,9,24
41,3,3,False,100,9,36
41,4,4,True,100,9,36
41,5,5,False,100,9,36
41,6,6,False,100,9,36
41,7,7,False,100,9,36
41,8,8,False,100,9,36
41,9,9,False,100,9,36
41,10,10,False,100,9,36
41,11,11,False,100,9,36
54,3,3,False,142,3,12
54,4,4,False,142,3,12
54,5,5,False,142,3,12
54,6,6,True,142,3,12
54,7,7,False,142,3,12
54,8,8,False,142,3,12
54,9,9,False,142,3,12
54,10,10,False,142,3,12
54,11,11,False,142,3,12
54,12,12,False,142,3,12
54,13,13,False,142,3,12
25,3,3,False,142,3,24
25,4,4,False,142,3,24
25,5,5,False,142,3,24
25,6,6,False,142,3,24
25,7,7,False,142,3,24
25,8,8,True,142,3,24
25,9,9,False,142,3,24
26,3,3,False,142,3,36
26,4,4,True,142,3,36
26,5,5,False,142,3,36
26,6,6,False,142,3,36
26,7,7,False,142,3,36
26,8,8,False,142,3,36
26,9,9,False,142,3,36
80,4,4,False,142,5,12
80,5,5,False,142,5,12
80,6,6,False,142,5,12
80,7,7,False,142,5,12
80,8,8,False,142,5,12
80,9,9,False,142,5,12
80,10,10,False,142,5,12
80,11,11,True,142,5,12
80,12,12,False,142,5,12
80,13,13,False,142,5,12
80,14,14,False,142,5,12
80,15,15,False,142,5,12
47,3,3,False,142,5,24
47,4,4,False,142,5,24
47,5,5,False,142,5,24
47,6,6,False,142,5,24
47,7,7,False,142,5,24
47,8,8,False,142,5,24
47,9,9,False,142,5,24
47,10,10,False,142,5,24
47,11,11,True,142,5,24
40,3,3,False,142,5,36
40,4,4,False,142,5,36
40,5,5,False,142,5,36
40,6,6,False,142,5,36
40,7,7,True,142,5,36
40,8,8,False,142,5,36
40,9,9,False,142,5,36
40,10,10,False,142,5,36
40,11,11,False,142,5,36
101,5,5,False,142,7,12
101,6,6,False,142,7,12
101,7,7,False,142,7,12
101,8,8,False,142,7,12
101,9,9,False,142,7,12
101,10,10,False,142,7,12
101,11,11,False,142,7,12
101,12,12,False,142,7,12
101,13,13,False,142,7,12
101,14,14,False,142,7,12
101,15,15,True,142,7,12
101,16,16,False,142,7,12
101,17,17,False,142,7,12
101,18,18,False,142,7,12
101,19,19,False,142,7,12
67,4,4,False,142,7,24
67,5,5,False,142,7,24
67,6,6,False,142,7,24
67,7,7,True,142,7,24
67,8,8,False,142,7,24
67,9,9,False,142,7,24
67,10,10,False,142,7,24
67,11,11,False,142,7,24
67,12,12,False,142,7,24
67,13,13,False,142,7,24
67,14,14,False,142,7,24
67,15,15,False,142,7,24
57,3,3,False,142,7,36
57,4,4,False,142,7,36
57,5,5,False,142,7,36
57,6,6,False,142,7,36
57,7,7,False,142,7,36
57,8,8,False,142,7,36
57,9,9,False,142,7,36
57,10,10,False,142,7,36
57,11,11,False,142,7,36
57,12,12,False,142,7,36
57,13,13,True,142,7,36
115,5,5,False,142,9,12
115,6,6,False,142,9,12
115,7,7,False,142,9,12
115,8,8,False,142,9,12
115,9,9,False,142,9,12
115,10,10,True,142,9,12
115,11,11,False,142,9,12
