Sample Size,Pattern Count,Sqrt_N,Min Clusters,Max Clusters,Optimal Clusters,Range Width,Optimal Ratio,Sqrt_Ratio,n_pips,lookback,Position_In_Range
100,36,6,3,12,6,10,0.16666666666666666,1.0,3,12,0.3
100,18,4,3,8,6,6,0.3333333333333333,1.5,3,24,0.5
100,15,3,3,6,4,4,0.26666666666666666,1.3333333333333333,3,36,0.25
100,54,7,3,14,6,12,0.1111111111111111,0.8571428571428571,5,12,0.25
100,30,5,3,10,6,8,0.2,1.2,5,24,0.375
100,27,5,3,10,7,8,0.25925925925925924,1.4,5,36,0.5
100,68,8,4,16,6,13,0.08823529411764706,0.75,7,12,0.15384615384615385
100,44,6,3,12,5,10,0.11363636363636363,0.8333333333333334,7,24,0.2
100,35,5,3,10,3,8,0.08571428571428572,0.6,7,36,0.0
100,78,8,4,16,7,13,0.08974358974358974,0.875,9,12,0.23076923076923078
100,46,6,3,12,3,10,0.06521739130434782,0.5,9,24,0.0
100,41,6,3,12,4,10,0.0975609756097561,0.6666666666666666,9,36,0.1
142,54,7,3,14,6,12,0.1111111111111111,0.8571428571428571,3,12,0.25
142,25,5,3,10,8,8,0.32,1.6,3,24,0.625
142,26,5,3,10,4,8,0.15384615384615385,0.8,3,36,0.125
142,80,8,4,16,11,13,0.1375,1.375,5,12,0.5384615384615384
142,47,6,3,12,11,10,0.23404255319148937,1.8333333333333333,5,24,0.8
142,40,6,3,12,7,10,0.175,1.1666666666666667,5,36,0.4
142,101,10,5,20,15,16,0.1485148514851485,1.5,7,12,0.625
142,67,8,4,16,7,13,0.1044776119402985,0.875,7,24,0.23076923076923078
142,57,7,3,14,13,12,0.22807017543859648,1.8571428571428572,7,36,0.8333333333333334
142,115,10,5,20,10,16,0.08695652173913043,1.0,9,12,0.3125
142,73,8,4,16,13,13,0.1780821917808219,1.625,9,24,0.6923076923076923
142,61,7,3,14,11,12,0.18032786885245902,1.5714285714285714,9,36,0.6666666666666666
204,86,9,4,18,6,15,0.06976744186046512,0.6666666666666666,3,12,0.13333333333333333
204,42,6,3,12,8,10,0.19047619047619047,1.3333333333333333,3,24,0.5
204,42,6,3,12,9,10,0.21428571428571427,1.5,3,36,0.6
204,122,11,5,22,15,18,0.12295081967213115,1.3636363636363635,5,12,0.5555555555555556
204,77,8,4,16,14,13,0.18181818181818182,1.75,5,24,0.7692307692307693
204,76,8,4,16,13,13,0.17105263157894737,1.625,5,36,0.6923076923076923
204,146,12,6,24,7,19,0.04794520547945205,0.5833333333333334,7,12,0.05263157894736842
204,101,10,5,20,13,16,0.12871287128712872,1.3,7,24,0.5
204,94,9,4,18,8,15,0.0851063829787234,0.8888888888888888,7,36,0.26666666666666666
204,168,12,6,24,12,19,0.07142857142857142,1.0,9,12,0.3157894736842105
204,119,10,5,20,10,16,0.08403361344537816,1.0,9,24,0.3125
204,108,10,5,20,14,16,0.12962962962962962,1.4,9,36,0.5625
292,111,10,5,20,6,16,0.05405405405405406,0.6,3,12,0.0625
292,66,8,4,16,7,13,0.10606060606060606,0.875,3,24,0.23076923076923078
292,62,7,3,14,4,12,0.06451612903225806,0.5714285714285714,3,36,0.08333333333333333
292,176,13,6,26,16,21,0.09090909090909091,1.2307692307692308,5,12,0.47619047619047616
292,123,11,5,22,19,18,0.15447154471544716,1.7272727272727273,5,24,0.7777777777777778
292,103,10,5,20,11,16,0.10679611650485436,1.1,5,36,0.375
292,218,14,7,28,13,22,0.05963302752293578,0.9285714285714286,7,12,0.2727272727272727
292,151,12,6,24,16,19,0.10596026490066225,1.3333333333333333,7,24,0.5263157894736842
292,140,11,5,22,15,18,0.10714285714285714,1.3636363636363635,7,36,0.5555555555555556
292,248,15,7,30,7,24,0.028225806451612902,0.4666666666666667,9,12,0.0
292,179,13,6,26,24,21,0.1340782122905028,1.8461538461538463,9,24,0.8571428571428571
292,155,12,6,24,17,19,0.10967741935483871,1.4166666666666667,9,36,0.5789473684210527
418,158,12,6,24,22,19,0.13924050632911392,1.8333333333333333,3,12,0.8421052631578947
418,109,10,5,20,17,16,0.1559633027522936,1.7,3,24,0.75
418,101,10,5,20,14,16,0.13861386138613863,1.4,3,36,0.5625
418,254,15,7,30,12,24,0.047244094488188976,0.8,5,12,0.20833333333333334
418,188,13,6,26,17,21,0.09042553191489362,1.3076923076923077,5,24,0.5238095238095238
418,167,12,6,24,19,19,0.11377245508982035,1.5833333333333333,5,36,0.6842105263157895
418,317,17,8,34,8,27,0.025236593059936908,0.47058823529411764,7,12,0.0
418,225,15,7,30,25,24,0.1111111111111111,1.6666666666666667,7,24,0.75
418,213,14,7,28,26,22,0.12206572769953052,1.8571428571428572,7,36,0.8636363636363636
418,362,19,9,38,13,30,0.03591160220994475,0.6842105263157895,9,12,0.13333333333333333
418,261,16,8,32,9,25,0.034482758620689655,0.5625,9,24,0.04
418,242,15,7,30,25,24,0.10330578512396695,1.6666666666666667,9,36,0.75
597,229,15,7,30,8,24,0.034934497816593885,0.5333333333333333,3,12,0.041666666666666664
597,144,12,6,24,23,19,0.1597222222222222,1.9166666666666667,3,24,0.8947368421052632
597,121,11,5,22,14,18,0.11570247933884298,1.2727272727272727,3,36,0.5
597,368,19,9,38,31,30,0.08423913043478261,1.631578947368421,5,12,0.7333333333333333
597,272,16,8,32,22,25,0.08088235294117647,1.375,5,24,0.56
597,236,15,7,30,18,24,0.07627118644067797,1.2,5,36,0.4583333333333333
597,454,21,10,42,21,33,0.046255506607929514,1.0,7,12,0.3333333333333333
597,337,18,9,36,30,28,0.08902077151335312,1.6666666666666667,7,24,0.75
597,311,17,8,34,30,27,0.09646302250803858,1.7647058823529411,7,36,0.8148148148148148
597,525,22,11,44,12,34,0.022857142857142857,0.5454545454545454,9,12,0.029411764705882353
597,377,19,9,38,11,30,0.029177718832891247,0.5789473684210527,9,24,0.06666666666666667
597,356,18,9,36,34,28,0.09550561797752809,1.8888888888888888,9,36,0.8928571428571429
854,337,18,9,36,18,28,0.05341246290801187,1.0,3,12,0.32142857142857145
854,222,14,7,28,26,22,0.11711711711711711,1.8571428571428572,3,24,0.8636363636363636
854,188,13,6,26,14,21,0.07446808510638298,1.0769230769230769,3,36,0.38095238095238093
854,536,23,11,46,29,36,0.054104477611940295,1.2608695652173914,5,12,0.5
854,390,19,9,38,31,30,0.07948717948717948,1.631578947368421,5,24,0.7333333333333333
854,349,18,9,36,26,28,0.07449856733524356,1.4444444444444444,5,36,0.6071428571428571
854,665,25,12,50,30,39,0.045112781954887216,1.2,7,12,0.46153846153846156
854,493,22,11,44,22,34,0.04462474645030426,1.0,7,24,0.3235294117647059
854,459,21,10,42,38,33,0.08278867102396514,1.8095238095238095,7,36,0.8484848484848485
854,756,27,13,54,13,42,0.017195767195767195,0.48148148148148145,9,12,0.0
854,561,23,11,46,27,36,0.0481283422459893,1.173913043478261,9,24,0.4444444444444444
854,520,22,11,44,38,34,0.07307692307692308,1.7272727272727273,9,36,0.7941176470588235
1222,452,21,10,42,37,33,0.08185840707964602,1.7619047619047619,3,12,0.8181818181818182
1222,312,17,8,34,11,27,0.035256410256410256,0.6470588235294118,3,24,0.1111111111111111
1222,253,15,7,30,14,24,0.05533596837944664,0.9333333333333333,3,36,0.2916666666666667
