Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,ExitReason,Duration,Tag
7,1,7,2044.774457,2046.78,2041.8811322740662,2052.0194870872765,14.038800999999921,0.0009808137974016695,2024-01-04 04:00:00,2024-01-04 10:00:00,time,0 days 06:00:00,0
7,3,8,2043.264306,2050.5039853311605,2040.37311811474,2050.5039853311605,50.67775531812322,0.0035431927773128535,2024-01-04 06:00:00,2024-01-04 11:00:00,tp,0 days 05:00:00,2
23,5,11,2047.464726,2046.0,2044.698634448515,2061.5568199487852,-33.68869799999834,-0.0007153852183140463,2024-01-04 08:00:00,2024-01-04 14:00:00,time,0 days 06:00:00,4
92,7,12,2046.984678,2043.3046083000831,2043.3046083000831,2066.931922614563,-338.5664123923534,-0.0017978003154925926,2024-01-04 10:00:00,2024-01-04 15:00:00,sl,0 days 05:00:00,5
7,4,12,2043.944374,2041.0522238288738,2041.0522238288738,2051.1864629431866,-20.24505119788273,-0.0014149847754741929,2024-01-04 07:00:00,2024-01-04 15:00:00,sl,0 days 08:00:00,3
7,2,12,2044.814461,2041.9210796690154,2041.9210796690154,2052.0596328291604,-20.253669316891774,-0.0014149847754741929,2024-01-04 05:00:00,2024-01-04 15:00:00,sl,0 days 10:00:00,1
17,11,12,2046.2046,2042.5259327245576,2042.5259327245576,2057.5109959949345,-62.53734368252117,-0.0017978003154925926,2024-01-04 14:00:00,2024-01-04 15:00:00,sl,0 days 01:00:00,7
-92,8,13,2047.7852010000001,2036.4678080705446,2051.4674462558323,2036.4678080705446,1041.2001495099094,0.005526650414276357,2024-01-04 11:00:00,2024-01-04 16:00:00,tp,0 days 05:00:00,6
22,14,16,2045.3445140000001,2042.4503826520904,2042.4503826520904,2051.527054779247,-63.670889654013536,-0.0014149847754741929,2024-01-04 17:00:00,2024-01-04 19:00:00,sl,0 days 02:00:00,10
84,17,28,2043.354315,2041.013363015425,2041.013363015425,2062.4180503651323,-196.63996670429879,-0.001145641735939007,2024-01-04 20:00:00,2024-01-05 08:00:00,sl,0 days 12:00:00,13
61,16,31,2043.4943289999999,2040.326094965998,2040.326094965998,2059.5292372365234,-193.2622760741158,-0.0015504002086231816,2024-01-04 19:00:00,2024-01-05 11:00:00,sl,0 days 16:00:00,12
75,15,31,2044.934473,2040.1670703431869,2040.1670703431869,2055.43917476576,-357.555199260986,-0.002331322944455594,2024-01-04 18:00:00,2024-01-05 11:00:00,sl,0 days 17:00:00,11
230,32,33,2040.214001,2038.4509715292056,2038.4509715292056,2065.7953995001,-405.49677828272024,-0.0008641394823927229,2024-01-05 12:00:00,2024-01-05 13:00:00,sl,0 days 01:00:00,16
229,33,35,2039.453925,2037.691552340887,2037.691552340887,2062.682539292623,-403.58333893687654,-0.0008641394823926118,2024-01-05 13:00:00,2024-01-05 15:00:00,sl,0 days 02:00:00,17
5,31,35,2039.043884,2035.3824138312968,2035.3824138312968,2048.208084164139,-18.30735084351545,-0.001795679925005067,2024-01-05 11:00:00,2024-01-05 15:00:00,sl,0 days 04:00:00,15
10,28,35,2042.664246,2036.7561985016816,2036.7561985016816,2060.7350919769515,-59.080474983184104,-0.002892324330779128,2024-01-05 08:00:00,2024-01-05 15:00:00,sl,0 days 07:00:00,14
54,13,35,2039.553935,2033.0358710886953,2033.0358710886953,2064.9480049699805,-351.9754512104473,-0.0031958281658800436,2024-01-04 16:00:00,2024-01-05 15:00:00,sl,0 days 23:00:00,9
4,12,35,2040.444024,2035.8005543060863,2035.8005543060863,2051.387453818949,-18.57387877565452,-0.0022757153047554546,2024-01-04 15:00:00,2024-01-05 15:00:00,sl,1 days 00:00:00,8
227,35,37,2040.244004,2063.4816169957203,2038.4809486024287,2063.4816169957203,5274.938150028527,0.011389624451860536,2024-01-05 15:00:00,2024-01-05 17:00:00,tp,0 days 02:00:00,18
3,37,38,2055.0054800000003,2049.1173465704746,2049.1173465704746,2084.0445533445595,-17.66440028857687,-0.0028652641011573943,2024-01-05 17:00:00,2024-01-05 18:00:00,sl,0 days 01:00:00,19
22,38,39,2045.264506,2042.3480276627288,2042.3480276627288,2055.8541039781417,-64.16252341996642,-0.001425966337711082,2024-01-05 18:00:00,2024-01-05 19:00:00,sl,0 days 01:00:00,20
10,42,44,2043.8043599999999,2044.23,2037.7133460844484,2058.076209365937,4.256400000001577,0.00020825868088469868,2024-01-05 22:00:00,2024-01-08 01:00:00,time,2 days 03:00:00,23
3,41,44,2045.924572,2044.23,2039.2203616157028,2061.4907642723783,-5.08371599999964,-0.0008282670941007764,2024-01-05 21:00:00,2024-01-08 01:00:00,time,2 days 04:00:00,22
9,40,44,2048.4048199999997,2044.23,2041.6924821878272,2063.989882966723,-37.57337999999754,-0.002038083468286156,2024-01-05 20:00:00,2024-01-08 01:00:00,time,2 days 05:00:00,21
9,43,44,2045.90457,2044.23,2039.200425159476,2061.4706100893595,-15.07112999999913,-0.0008184985871554362,2024-01-05 23:00:00,2024-01-08 01:00:00,time,2 days 02:00:00,24
22,45,46,2046.164596,2043.246834164688,2043.246834164688,2053.1592362001174,-64.19076037686727,-0.001425966337711082,2024-01-08 02:00:00,2024-01-08 03:00:00,sl,0 days 01:00:00,25
26,47,48,2041.454125,2038.9406824052953,2038.9406824052953,2051.899331249582,-65.34950746232107,-0.0012312020945877133,2024-01-08 04:00:00,2024-01-08 05:00:00,sl,0 days 01:00:00,26
4,49,50,2035.973577,2031.3402807707432,2031.3402807707432,2056.1622228652036,-18.53318491702703,-0.0022757153047555656,2024-01-08 06:00:00,2024-01-08 07:00:00,sl,0 days 01:00:00,27
20,54,56,2029.292909,2026.1232999154793,2026.1232999154793,2033.2252248102538,-63.39218169041487,-0.0015619278372596135,2024-01-08 11:00:00,2024-01-08 13:00:00,sl,0 days 02:00:00,29
21,53,56,2028.462826,2020.1,2025.4007996915898,2034.1526851154554,-175.61934600000086,-0.004122740576168682,2024-01-08 10:00:00,2024-01-08 13:00:00,time,0 days 03:00:00,28
22,59,60,2026.732653,2030.7308299735682,2023.7294731984164,2030.7308299735682,87.95989341850054,0.0019727204610089366,2024-01-08 16:00:00,2024-01-08 17:00:00,tp,0 days 01:00:00,30
12,60,62,2034.353415,2029.3568478112818,2029.3568478112818,2047.678687761726,-59.95880626461894,-0.0024560959525895543,2024-01-08 17:00:00,2024-01-08 19:00:00,sl,0 days 02:00:00,31
15,61,62,2032.40322,2028.1958712391215,2028.1958712391215,2038.734965267038,-63.11023141317605,-0.002070134862745543,2024-01-08 18:00:00,2024-01-08 19:00:00,sl,0 days 01:00:00,32
48,63,71,2026.792659,2033.59,2022.3511507992755,2037.0481239489304,326.2723679999981,0.0033537426582912477,2024-01-08 20:00:00,2024-01-09 05:00:00,time,0 days 09:00:00,34
17,62,73,2027.862766,2032.74,2024.2170736795097,2044.7717200433203,82.91297800000075,0.002405110484680728,2024-01-08 19:00:00,2024-01-09 07:00:00,time,0 days 12:00:00,33
17,64,75,2029.612941,2035.99,2025.9641022143423,2037.9732442749562,108.4100029999986,0.0031420074592438674,2024-01-08 21:00:00,2024-01-09 09:00:00,time,0 days 12:00:00,35
14,65,76,2027.322712,2037.5808589894136,2022.8800422424997,2037.5808589894136,143.61405785179204,0.005059947747191096,2024-01-08 22:00:00,2024-01-09 10:00:00,tp,0 days 12:00:00,36
21,75,76,2036.193599,2033.1336549440375,2033.1336549440375,2046.8921971187597,-64.25882517521109,-0.0015027765814926708,2024-01-09 09:00:00,2024-01-09 10:00:00,sl,0 days 01:00:00,40
18,76,79,2034.50343,2034.97,2030.8938276051515,2042.9353539568708,8.398260000000846,0.00022932868685310304,2024-01-09 10:00:00,2024-01-09 13:00:00,time,0 days 03:00:00,41
20,77,80,2035.673547,2036.33,2032.4831902208173,2043.7823172169835,13.12905999999657,0.00032247459371226306,2024-01-09 11:00:00,2024-01-09 14:00:00,time,0 days 03:00:00,42
43,71,80,2033.7933589999998,2036.33,2029.3285816324028,2053.364741168061,109.07556300000624,0.0012472461810217883,2024-01-09 05:00:00,2024-01-09 14:00:00,time,0 days 09:00:00,38
14,66,81,2028.242804,2038.5056066068564,2023.7981179552662,2038.5056066068564,143.67923649599015,0.005059947747191096,2024-01-08 23:00:00,2024-01-09 15:00:00,tp,0 days 16:00:00,37
9,79,82,2035.173497,2034.74,2028.1244708552292,2052.7319362795647,-3.9014729999998963,-0.00021300247897237945,2024-01-09 13:00:00,2024-01-09 16:00:00,time,0 days 03:00:00,43
223,81,82,2038.8838680000001,2037.2793377189207,2037.2793377189207,2057.2426393967658,-357.81025268070744,-0.0007869650185879928,2024-01-09 15:00:00,2024-01-09 16:00:00,sl,0 days 01:00:00,45
